age,n,adult_words,adult_words_sd,child_vocs,child_vocs_sd,conversational_turns,conversational_turns_sd
2,16,15439,8234,776,324,271,142
3,34,14993,6481,787,348,233,95
4,42,15315,7249,874,375,239,106
5,45,11872,6084,913,413,221,118
6,50,12503,7336,987,478,242,115
7,56,14148,6390,1067,469,283,138
8,57,13248,6427,1158,440,287,136
9,60,13578,7226,1108,452,276,126
10,60,12301,5813,1168,516,289,144
11,64,11986,5895,1187,481,285,124
12,65,14136,6880,1245,477,341,170
13,71,13351,6296,1326,578,355,193
14,71,13695,6497,1285,605,347,202
15,73,12122,4575,1347,612,355,175
16,78,13167,5701,1481,755,404,233
17,74,12991,6456,1614,758,412,236
18,87,12262,5053,1634,824,423,250
19,81,12923,5803,1696,758,451,261
20,83,12592,5574,1841,830,468,263
21,83,12722,5928,1846,838,480,281
22,83,13010,5605,1950,990,502,285
23,88,13038,5700,2021,962,497,274
24,88,12977,4953,2197,839,547,243
25,87,12622,5117,2189,872,533,255
26,84,13800,5735,2305,848,568,265
27,95,12750,6581,2213,867,530,269
28,96,13425,6092,2277,987,545,268
29,91,12910,5690,2419,1113,556,268
30,92,12405,5470,2367,963,552,280
31,92,13291,6240,2223,971,545,298
32,87,13310,6530,2347,1072,555,298
33,91,12469,5591,2444,1205,531,281
34,91,13453,5707,2362,1042,540,267
35,84,12729,4928,2325,1039,533,275
36,82,12990,6025,2401,1170,533,274
37,76,12197,5466,2274,1078,478,245
38,74,13893,6373,2430,1137,533,246
39,70,11574,5199,2323,1134,487,273
40,61,12542,5333,2400,1246,509,299
41,47,13851,6013,2500,975,536,265
42,44,12382,6101,2569,1363,546,371
43,38,13239,5546,2563,1107,538,290
44,38,12060,5351,2683,1030,561,271
45,31,11437,5084,2506,1250,523,328
46,29,12822,6617,2563,1550,504,298
47,33,11531,4102,2454,1198,473,211
48,28,12128,6837,2071,1147,449,306
